horizon,cum_pos,cum_pos_lo95,cum_pos_hi95,cum_neg,cum_neg_lo95,cum_neg_hi95,asymmetry,asym_lo95,asym_hi95,period_m_pos,period_m_neg,ar_irf_phi
0,-2.7678607995017046,-6.85816607592721,1.215069900328088,3.2246193581513705,-0.8068338500848632,7.586356037427675,-5.992480157653075,-10.891799920408246,-1.6908009822696701,-2.7678607995017046,3.2246193581513705,1.0
1,-4.762034573180388,-9.597381853642338,0.6217617955463328,-0.03315359213841251,-6.1755282855792375,6.034580910446296,-4.728880981041976,-11.207901757340862,1.8816284027994703,-1.994173773678684,-3.257772950289783,0.33300110301890395
2,-11.210963392467344,-18.09411426313117,-3.9912078225428824,-0.25253610126777004,-8.063844007521235,7.913689271868222,-10.958427291199573,-20.08717722893586,-2.078639517621934,-6.448928819286955,-0.21938250912935753,0.37928094007751006
3,-10.428801831401405,-20.092501057072113,-0.00029673135734598066,-0.5391138503077404,-10.964030599308813,9.486975502140627,-9.889687981093664,-23.047700712185037,3.6147999515817575,0.782161561065938,-0.28657774903997035,0.42060964250114685
4,-12.343945478330125,-23.766198913834156,0.226949574085214,-1.319002993133575,-12.950264232955286,10.51991910893478,-11.02494248519655,-26.665799018717976,4.985553287877965,-1.9151436469287213,-0.7798891428258345,0.3231429356218999
5,-14.600421942162505,-29.0091441518974,1.0884437985400843,-1.1826342153363143,-15.580100926779084,13.152897103847494,-13.417787726826191,-31.578352017896773,7.280688352383075,-2.2564764638323807,0.13636877779726064,0.47636213421098583
6,-15.619401705242574,-32.14290536703565,1.9306003433679542,-2.5764328023991014,-19.66659892344053,13.550571770675344,-13.042968902843473,-33.30106466229554,10.533318236232706,-1.018979763080068,-1.393798587062787,0.2076522939845482
7,-17.69506639209124,-36.19087426974643,1.7994485394511635,-2.59735749887689,-22.26277113678942,15.11079889081075,-15.097708893214348,-37.19784880135696,13.311395426348234,-2.075664686848666,-0.020924696477788718,0.27244664875074137
8,-17.807049890621634,-37.64785996296034,4.247678964614187,-2.96947480093579,-24.617125072878487,16.403836791466418,-14.837575089685844,-40.2546148038931,17.678935700068987,-0.11198349853039535,-0.3721173020588999,0.25057398519538
9,-19.11857439210576,-40.33937949109144,4.413415493395889,-3.464896542138579,-27.73576971129712,16.726681753946114,-15.653677849967181,-42.936195309210085,19.678380893007454,-1.3115245014841241,-0.49542174120278903,0.18295437116618846
10,-20.05859830095183,-43.24098157831537,5.460065338274523,-3.582885461276633,-31.276627456567507,17.891927955318394,-16.475712839675197,-44.38252343957104,23.514059507909092,-0.9400239088460676,-0.11798891913805432,0.2091693750827147
11,-20.529404581588302,-45.040447790587805,6.296085487276962,-4.099376603616604,-34.2537569549149,17.821251132574304,-16.430027977971697,-46.69157239073918,26.102523609048152,-0.4708062806364719,-0.5164911423399714,0.12080236414938503
12,-21.379191334689445,-47.7019354785466,6.670933114825876,-4.152799075523395,-36.53556914912438,18.606534133429573,-17.22639225916605,-48.77773792612235,29.630858795727214,-0.8497867531011407,-0.05342247190679028,0.14570463878238488
13,-21.630164545480287,-49.94226218998784,7.327365909638133,-4.400616797112038,-40.97509887114266,18.835745500823172,-17.229547748368248,-50.06096641682897,32.65433071217382,-0.25097321079084134,-0.2478177215886434,0.11887071639668559
14,-22.257586117234133,-52.848667864845076,7.507081451161668,-4.621483632616308,-45.12953254620861,18.640671613191607,-17.636102484617826,-52.076511376567495,35.783263385079806,-0.6274215717538447,-0.22086683550426983,0.09118302841276063
15,-22.632648113212916,-55.3373752018524,8.27693243634791,-4.707227298046542,-49.499636683599824,18.81320252954999,-17.925420815166376,-54.39652240068766,38.54709163647248,-0.3750619959787833,-0.08574366543023376,0.09589424488092133
16,-22.89475349504157,-58.68327391803356,8.622906781126433,-4.914275096135817,-53.928362898160636,18.968217980499656,-17.980478398905753,-54.80170852205304,42.45392652919554,-0.26210538182865445,-0.20704779808927512,0.06460461496139586
