horizon,cum_pos,cum_pos_lo95,cum_pos_hi95,cum_neg,cum_neg_lo95,cum_neg_hi95,asymmetry,asym_lo95,asym_hi95,period_m_pos,period_m_neg,ar_irf_phi
0,-0.3370406645166497,-3.651722375621939,2.9215811817292345,3.052481436042612,-0.411437543451613,6.540813643903337,-3.3895221005592617,-6.612271024346054,0.19446948845069623,-0.3370406645166497,3.052481436042612,1.0
1,-1.6375913024534525,-5.591628640859791,2.4164739714901025,0.11066614293791943,-5.12501797554564,5.055379675653539,-1.748257445391372,-6.600233846625092,3.4159012819700925,-1.3005506379368028,-2.9418152931046926,0.22329569235266256
2,-6.553753866844284,-12.236630377724097,-0.47250331490168995,0.7471497632011148,-6.001298664027322,7.046534830255124,-7.300903630045399,-14.283615648523845,1.0282702036081819,-4.916162564390831,0.6364836202631954,0.47357469880780373
3,-5.827642089080305,-12.992131157597008,2.323964418704121,0.3916417759260824,-8.766372681779542,8.713847460774435,-6.219283865006387,-15.87608951941075,4.509769883748004,0.726111777763979,-0.3555079872750324,0.4456874407805707
4,-8.067609972360739,-16.626240234067424,1.8230803263852124,-0.1397609056090079,-11.265233914172734,10.122178666875731,-7.9278490667517305,-19.990165009126883,5.652184493383733,-2.2399678832804346,-0.5314026815350903,0.35496060644325417
5,-9.46618804660394,-19.289930802564413,2.603741763274216,-0.2529079622163797,-13.397504022250853,11.415056031119962,-9.21328008438756,-24.386036360272218,7.029555609247671,-1.3985780742432004,-0.11314705660737179,0.38428562853847625
6,-10.549454980357009,-21.96800571455588,3.031054696058403,-0.5905514628848421,-15.884867384934328,12.562018958351182,-9.958903517472166,-27.437854646671408,8.616058186868978,-1.0832669337530694,-0.3376435006684624,0.3455500822760841
7,-11.933464707714858,-24.592854072637767,3.08748078474612,-0.8442550827963959,-18.128991306806302,13.715298244853738,-11.089209624918462,-30.798106092948775,9.891869247471044,-1.3840097273578489,-0.2537036199115539,0.32706829235054447
8,-13.044611876353184,-27.45164625396135,3.5014966101691156,-1.0717282014504308,-20.373898819146017,15.000200988759627,-11.972883674902754,-33.46075564835646,11.319626578854157,-1.1111471686383252,-0.22747311865403474,0.31372281919130285
9,-14.144904589786112,-30.156162582840118,3.9389445771296687,-1.3128526760423371,-22.6102512250518,16.25721282138973,-12.832051913743776,-35.97764118812946,12.573262013295198,-1.1002927134329283,-0.24112447459190622,0.29340897674638156
