Model,Dep,Horizon,Cum_m+,CI+_lo,CI+_hi,Cum_m-,CI-_lo,CI-_hi,Asymmetry,Asym_sig
Model_2_EX,ln_EX,1,-4.762,-9.5974,0.6218,-0.0332,-6.1755,6.0346,-4.7289,No
Model_2_EX,ln_EX,3,-10.4288,-20.0925,-0.0003,-0.5391,-10.964,9.487,-9.8897,No
Model_2_EX,ln_EX,6,-15.6194,-32.1429,1.9306,-2.5764,-19.6666,13.5506,-13.043,No
Model_2_EX,ln_EX,12,-21.3792,-47.7019,6.6709,-4.1528,-36.5356,18.6065,-17.2264,No
Model_2_EX,ln_EX,18,-23.4411,-63.5033,9.6315,-5.0944,-60.855,19.7891,-18.3466,No
Model_2_EX,ln_EX,24,-24.4157,-85.4717,10.4092,-5.4617,-76.8218,20.9703,-18.9539,No
Model_3_IM,ln_IM,1,-1.6376,-5.5916,2.4165,0.1107,-5.125,5.0554,-1.7483,No
Model_3_IM,ln_IM,3,-5.8276,-12.9921,2.324,0.3916,-8.7664,8.7138,-6.2193,No
Model_3_IM,ln_IM,6,-10.5495,-21.968,3.0311,-0.5906,-15.8849,12.562,-9.9589,No
Model_3_IM,ln_IM,12,-17.1106,-38.0397,5.0182,-1.9258,-27.7597,19.4534,-15.1848,No
Model_3_IM,ln_IM,18,-21.727,-49.2472,8.7218,-2.8871,-36.8531,24.9291,-18.8399,No
Model_3_IM,ln_IM,24,-25.0291,-60.0747,11.0439,-3.5751,-45.7689,30.1781,-21.454,No
